Name,University,Gender,City,State,Email,Website
On a Sensual Note,American University,All Male,Washington,DC,,
Pitch Slapped,Berklee College of Music,Co-ed,Boston,MA,,
Harpur Harpeggios,Binghamton University,All Female,Binghamton,NY,,
The Crosbys,Binghamton University,All Male,Binghamton,NY,,
The Dear Abbeys,Boston University,All Male,Boston,MA,,
VoiceMale,Brandeis University,All Male,Waltham,MA,,
Noteworthy,Brigham Young University,All Female,Provo,UT,,
Vocal Point,Brigham Young University,All Male,Provo,UT,,
Chattertocks,Brown University,All Female,Providence,RI,,
The Brown Derbies,Brown University,All Male,Providence,RI,,
The Jabberwocks,Brown University,All Male,Providence,RI,,
The Bear Necessities,Brown University,,Providence,RI,,
2Fish,Bryn Mawr,Co-ed,Bryn Mawr,PA,,
Dhamakapella,Case Western Reserve University,Co-ed,Cleveland,OH,,
The Claremont Shades,Claremont Colleges,Co-ed,Claremont,CA,,
The Colgate Thirteen,Colgate University,All Male,Hamilton,NY,,
The Touchtones,Cornell University,All Female,Ithaca,NY,,
Cayuga's Waiters,Cornell University,All Male,Ithaca,NY,,
The Hangovers,Cornell University,All Male,Ithaca,NY,,
The Chordials,Cornell University,,Ithaca,NY,,
The Dartmouth Aires,Dartmouth College,All Male,Hanover,NH,,
DMaC,DePaul University,All Male,Chicago,IL,,
Emocapella,George Washington University,All Male,Washington,DC,,
The Georgetown Chimes,Georgetown University,All Male,Washington,DC,,
Gin & Tonics,Hampshire College,Co-ed,Amhersey,MA,,
Crazy Pitches,Hampshire College,Co-ed,Amherst,MA,,
The Radcliffe Pitches,Harvard University,All Female,Cambridge,MA,,
The Din & Tonics,Harvard University,All Male,Cambridge,MA,,
The Krokodiloes,Harvard University,All Male,Cambridge,MA,,
The Harvard LowKeys,Harvard University,Co-ed,Cambridge,MA,,
The Harvard-Radcliffe Veritones,Harvard University,Co-ed,Cambridge,MA,,
Ford S-Chords,Haverford College,All Male,Haverford,PA,,
3 Miles Lost,Hobart and William Smith College,All Female,Geneva,NY,,
Another Round,Indiana University,All Male,,IN,,
Straight No Chaser,Indiana University Bloomington,All Male,Bloomington,IN,,
The Logarhythms,Massachusetts Institute of Technology,All Male,Cambridge,MA,,
Chorallaries of MIT,Massachusetts Institute of Technology,Co-ed,Cambridge,MA,,
MIT Resonance,Massachusetts Institute of Technology,Co-ed,Cambridge,MA,,
The Accafellas,Michigan State University,All Male,East Lansing,MI,,
The Dissipated Eight,Middlebury College,All Male,Middlebury,VT,,
OneVoice,Millikin University,All Female,Decatur,IL,,
Nice Shoes,Mount Holyoke College,All Female,South Hadley,MA,,
The Milk & Cookies,Mount Holyoke College,All Female,South Hadley,MA,,
Fermata Nowhere,Mt. San Antonio College,,Walnut,CA,,
The Nor'easters,Northeastern University,Co-ed,Boston,MA,,
Northwestern Undertones,Northwestern University,Co-ed,Evanston,IL,,
Purple Haze,Northwestern University,Co-ed,Evanston,IL,,
THUNK a cappella,Northwestern University,Co-ed,Evanston,IL,,
The Dreamers of Phi Mu Alpha,Penn State,All Male,,PA,,
Footnotes,Princeton University,All Male,Princeton,NJ,,
Nassoons,Princeton University,All Male,Princeton,NJ,,
Tigertones,Princeton University,All Male,Princeton,NJ,,
The Katzenjammers,Princeton University,Co-ed,Princeton,NJ,,
Encore,Rochester Institute of Technology,All Female,Rochester,NY,,
Vocal Accent,Rochester Institute of Technology,All Female,Rochester,NY,,
Brick City Singers,Rochester Institute of Technology,All Male,Rochester,NY,,
Eight Beat Measure,Rochester Institute of Technology,All Male,Rochester,NY,business@8beat.org,www.8beat.org
Surround Sound,Rochester Institute of Technology,All Male,Rochester,NY,,
Proof Of Purchase,Rochester Institute of Technology,Co-ed,Rochester,NY,,
Deep Treble,Rutgers University,Co-ed,Camden,NJ,,
Sirens,Simmons College,,Boston,MA,,
The Smiffenpoofs,Smith College,All Female,Smith,MA,,
Raagapella,Stanford University,All Male,Stanford,CA,,
The Mendicants,Stanford University,All Male,Stanford,CA,,
Stanford Harmonics,Stanford University,Co-ed,Stanford,CA,,
Talisman,Stanford University,Co-ed,Stanford,CA,,
Everyday People,Stanford University,,Stanford,CA,,
The Potsdam Pitches,State University of New York at Potsdam,Co-ed,Potsdam,NY,,
Main Squeeze,Syracuse University,All Female,Syracuse,NY,,
The Mandarins,Syracuse University,All Female,Syracuse,NY,,
The Otto Tunes,Syracuse University,All Male,Syracuse,NY,,
The Gentlemen of the College,The College of William and Mary,All Male,Williamsburg,VA,,
Quirks,Trinity College,,Trinity,FL,,
The Beelzebubs,Tufts University,All Male,Medford,MA,,
Shir Appeal,Tufts University,Co-ed,Medford,MA,,
The Idlers,United States Coast Guard Academy,All Male,New London,CT,,
The Earth Tones,University at Albany,All Male,Albany,NY,,
YOUTHphonics A Cappella,University of California Los Angeles,Co-ed,,CA,,
The California Golden Overtones,"University of California, Berkeley",All Female,,CA,,
UC Men's Octet,"University of California, Berkeley",All Male,,CA,,
The Spokes,"University of California, Davis",,,CA,,
The Tritones,"University of California, San Diego",Co-ed,,CA,,
Voices in Your Head,University of Chicago,Co-ed,,IL,,
A Completely Different Note,University of Connecticut,All Male,,CT,,
A Minor,University of Connecticut,Co-ed,,CT,,
Gestalt,University of Florida,Co-ed,,FL,,
The Accidentals,University of Georgia,All Male,,GA,,
Chai Town,University of Illinois at Urbana-Champaign,All Male,,IL,,
The Other Guys,University of Illinois at Urbana-Champaign,All Male,,IL,,
The Vocal Suspects,University of Massachusetts Amherst,Co-ed,Amherst,MA,,
Wicked Pitch,University of Massachusetts Amherst,,,MA,,
S#arp Attitude,University of Massachusetts Amherst,All Female,,MA,,
Compulsive Lyres,University of Michigan,Co-ed,,MI,,
Compulsive Lyres,University of Michigan,Co-ed,,MI,,
Dicks and Janes,University of Michigan,Co-ed,,MI,,
Not Too Sharp,University of New Hampshire,All Male,,NH,,
Cadence,University of North Carolina at Chapel Hill,All Female,,NC,,
Loreleis,University of North Carolina at Chapel Hill,All Female,,NC,,
The Clef Hangers,University of North Carolina at Chapel Hill,,,NC,,
Penn Masala,University of Pennsylvania,All Male,,PA,,
Heinz Chapel Choir,University of Pittsburgh,Co-ed,,PA,,
Vocal Point,University of Rochester,All Female,Rochester,NY,,
Midnight Ramblers,University of Rochester,All Male,Rochester,NY,,
The Yellow Jackets,University of Rochester,All Male,Rochester,NY,,
The Trojan Men,University of Southern California,All Male,,CA,,
Reverse Osmosis,University of Southern California,Co-ed,,CA,,
The SoCal VoCals,University of Southern California,Co-ed,,CA,,
Hoos in Treble,University of Virginia,All Female,,VA,,
Sil'hooettes,University of Virginia,All Female,,VA,,
The Virginia Belles,University of Virginia,All Female,,VA,,
The Academical Village People,University of Virginia,All Male,,VA,,
The Hullabahoos,University of Virginia,All Male,,VA,,
Virginia Gentlemen,University of Virginia,All Male,,VA,,
Hoos in the Stairwell,University of Virginia,Co-ed,,VA,,
The Innocent Men,University of Wisconsin-Eau Claire,All Male,,WI,,
UW MadHatters,University of Wisconsin-Madison,All Male,,WI,,
Fundamentally Sound,University of Wisconsin-Madison,,,WI,,
Vassar Devils,Vassar College,Co-ed,,NY,,
Night Owls,Vassar College,,,NY,,
VU Haveners,Villanova University,All Female,,PA,,
Sirens,Villanova University,,,PA,,
Nothing But Treble,Villanova University,,,PA,,
Mosaic Whispers,Washington University in St. Louis,Co-ed,St. Louis,MO,,
The Duke's Men of Yale,Yale University,All Male,New Haven,CT,,
The Spizzwinks,Yale University,All Male,New Haven,CT,,
The Whiffenpoofs,Yale University,All Male,New Haven,CT,,
The Yale Alley Cats,Yale University,All Male,New Haven,CT,,
The Yale Russian Chorus,Yale University,All Male,New Haven,CT,,
Magevet,Yale University,Co-ed,New Haven,CT,,
Mixed Company of Yale,Yale University,Co-ed,New Haven,CT,,
Out of the Blue,Yale University,Co-ed,New Haven,CT,,
Redhot & Blue,Yale University,Co-ed,New Haven,CT,,
The Maccabeats,Yeshiva University,All Male,New York City,NY,,
On The Rocks,University of Oregon,All Male,Eugene,OR,,
The Melodores,Vanderbelt,All Male,Nashville,TN,,
The Tempetations,Arizona State University,Co-ed,Tempe,AZ,,
Out Of The Dawg House,Butler University,All Male,Indianapolis,IN,,
